Reading from file ....
 536 out of (lagpas sa sampung daliriri)
 Done reading from file.
Reading from file ....
 460 out of (lagpas sa sampung daliriri)
 Done reading from file.
Reading from file ....
 387 out of (lagpas sa sampung daliriri)
 Done reading from file.
nagpapakita = ~nag~pa vs ~nag$pa$pa
Palagiang = :FS*palagiang vs :FS~pa+ang
Ginoong = :F+ng vs :F*ginoong
mag-asawa = ~mag$ vs ~mag
mali-mali = ~ma$li vs $mali
pagsasagawa = *pagsasagawa vs ~pag$sa$sa
sumasang-ayon = $sumasang vs $sa@um
sensory-neural = *sensory-neural vs %%sensoryneural
Napoleon = :F*napoleon vs *napoleon
binuo = *binuo vs #binuo
pinaka-malamang = ~pinaka$~ma+ng vs ~pinaka
palakaibigang = *palakaibigang vs ~pala+g
subukang = *subukang vs #+ang
matataas = ~ma$ta vs $ta
iminamanupaktura = ~i~ma@in vs ~i$ma@in
papuntang = ~pa+ng vs ~Pa+ng
nagdaang = *nagdaang vs ~nag+g
kumakailan = ~ka@um+an vs %%%kumakailan
pagkakaugnay = ~pag~ka vs ~pag$ka
pangkalakalan = *pangkalakalan vs ~pang
kolonista = *kolonista vs #kolonista
timog-kanlurang = *timog-kanlurang vs %%timogkanlurang
artikulo = *artikulo vs #artikulo
pag-aaral = *pag-aaral vs ~pag$a
pagkapareho = ~pag~ka vs ~pagka
nabibilang = ~na$bi+ng vs ~na$bi
niyebe = ~ni vs #niyebe
katalisikan = *katalisikan vs ~ka+an
pinag-uusapan = *pinag-uusapan vs ~pinag$u+an
pamapang = ~pa+ng vs +ng
istoryador = *istoryador vs #istoryador
Artikulo = :F*artikulo vs :F#artikulo
tagahatol = *tagahatol vs ~taga
kaguluhan = *kaguluhan vs ~ka+han
manlalaro = *manlalaro vs ~man$la
kalamnan = +nan vs ~ka+an
naidudulot = ~na~i$du vs ~na@du
nag-aaring = *nag-aaring vs ~nag$a+ng
anumang = *anumang vs +g
minamarket = ~ma@in vs %%%minamarket
dalhin = *dalhin vs +hin
pumapaikot = ~pa@um vs %%%pumapaikot
Sumang-ayon = :FS@um vs :FS~sumang
hugis-almendras = *hugis-almendras vs *hugisalmendras
maliban = ~ma+an vs ~ma
pahinga = ~pa vs #pahinga
baybaying = *baybaying vs +ing
Karaniwang = :FS*karaniwang vs :FS+g
tumutukoy = $tu@um vs ~tu
kondisyon = *kondisyon vs #kondisyon
kamatayan-plegarya = *kamatayan-plegarya vs *kamatayanplegarya
sinisiguradong = *sinisiguradong vs $si@in+ng
kakatwa = ~ka vs $ka
ikalabindalawang = *ikalabindalawang vs ~ika+ng
10-11 = *10-11 vs *1011
nanirahan = *nanirahan vs ~na+han
kinakailangan = ~ka@in+an+ng vs ~kina
pag-iisip = ~pag$~i vs ~pag~i
pinaka-malalim = ~pinaka$~ma vs ~pinakama
pagkain = ~pag+in vs ~pag
nagkakasya = ~nag~ka vs ~nag$ka
kamatayan = *kamatayan vs ~ka+an
erupsyon = *erupsyon vs #erupsyon
manunulat = *manunulat vs ~ma$nu
Ipinakita = :FS~i~pina vs :FS~ipina
manilay-nilay = ~ma~ni$lay vs ~ma$nilay
historyador = *historyador vs #historyador
